Paraksti:,Datums:
0,30/07/2021
4812,31/07/2021
6489,31/07/2021
7754,01/08/2021
10002,03/08/2021
10880,03/08/2021
11020,04/08/2021
11031,04/08/2021
11537,04/08/2021
11747,05/08/2021
11893,05/08/2021
12002,05/08/2021
12062,06/08/2021
12282,06/08/2021
12331,07/08/2021
12458,07/08/2021
12629,08/08/2021
12737,09/08/2021
12828,10/08/2021
12936,11/08/2021
13088,14/08/2021
13766,21/08/2021
14422,18/09/2021
14491,19/09/2021
14732,08/10/2021
15297,27/10/2021
15668,08/11/2021
16134,30/11/2021
17299,23/12/2021
